X ;T1;T2;T3;T4
0;28.4;28.2;27.6;28.3
0;28.4;28.2;27.5;28.2
0;28.4;28.1;27.5;28.1
0;28.4;28.0;27.4;28.0
0;28.3;28.0;27.4;27.9
1;31.9;28.0;27.3;28.0
2;36.7;28.0;27.3;28.0
3;41.3;28.0;27.3;27.9
6;48.3;28.0;27.3;28.0
8;53.3;28.0;27.3;27.9
25;65.6;28.0;27.4;27.9
36;67.4;28.0;27.3;27.9
40;67.6;28.8;27.3;27.9
45;68.7;31.2;27.3;27.9
49;68.7;31.2;27.3;27.9
54;70.9;39.0;27.3;27.9
67;72.8;40.8;27.4;27.9
71;72.3;50.0;27.5;27.9
75;72.6;52.9;31.1;27.9
110;69.0;66.9;73.0;31.7
111;70.6;67.7;74.7;37.8
111;70.6;67.7;76.0;45.2
111;71.7;72.9;79.4;66.2
111;76.4;75.6;81.1;78.4
111;76.3;77.4;80.4;81.7
111;76.7;78.9;81.0;84.3
110;78.3;78.4;80.2;84.3
